Kinase	Kinome	ActLoop	PSP	NWK	Kin	Sub	Score	Rel.Score	Skew
MAP2K6	0	0	8	14	0	22	0	0	1
MAP2K7	0	0	5	18	0	23	0	0	1
MAP3K4	1	0	0	0	1	0	0	0	0
MAP3K5	0	0	9	0	0	9	0	0	1
MAP3K6	0	0	9	0	0	9	0	0	1
MAP4K3	3	0	0	0	3	0	0	0	0
MAP4K4	1	0	0	0	1	0	0	0	0
MAP4K5	1	0	0	0	1	0	0	0	0
MAPK1	5	5	6	26	10	32	17.8885438199983	0.0361459966477601	0.807177504041541
MAPK10	5	5	0	5	10	5	7.07106781186548	0.0142879597129666	0.295167235300867
MAPK11	0	0	0	0	0	0	0	0	0
MAPK12	4	4	0	0	8	0	0	0	0
MAPK13	1	1	0	0	2	0	0	0	0
MAPK14	4	4	10	0	8	10	8.94427190999916	0.0180729983238801	0.570446574954555
MAPK3	5	5	11	100	10	111	33.3166624979154	0.0673204025482448	0.942801279731819
MAPK7	2	2	0	0	4	0	0	0	0
MAPK8	5	5	0	0	10	0	0	0	0
MAPK9	3	3	0	0	6	0	0	0	0
MAPKAPK3	4	4	0	0	8	0	0	0	0
MARK2	1	0	0	0	1	0	0	0	0
MARK3	2	0	0	0	2	0	0	0	0
MAST1	0	0	0	105	0	105	0	0	1
MAST2	0	0	0	105	0	105	0	0	1
MAST3	0	0	0	126	0	126	0	0	1
MELK	5	0	4	0	5	4	4.47213595499958	0.00903649916194003	0.429553425045445
MERTK	8	4	4	0	12	4	6.92820323027551	0.0139992843048844	0.204832764699133
MET	218	109	241	508	327	749	494.896958972269	1	0.737941992340003
MINK1	19	0	0	0	19	0	0	0	0
MST1R	9	9	183	12	18	195	59.2452529743945	0.119712299500539	0.941401156029425
MUSK	0	0	0	20	0	20	0	0	1
MYLK	2	0	0	0	2	0	0	0	0
MYLK3	0	0	0	0	0	0	0	0	0
NEK1	1	0	0	0	1	0	0	0	0
NEK2	0	0	0	3	0	3	0	0	1
NEK7	1	0	0	0	1	0	0	0	0
NPM-ALK	0	0	4	0	0	4	0	0	1
NRK	66	1	0	0	67	0	0	0	0
NTRK1	0	0	0	21	0	21	0	0	1
NTRK2	0	0	0	8	0	8	0	0	1
PAK1	0	0	0	2	0	2	0	0	1
PAK2	2	0	0	0	2	0	0	0	0
PAK4	1	0	0	0	1	0	0	0	0
PAK6	3	0	0	0	3	0	0	0	0
PBK	4	0	0	0	4	0	0	0	0
PDGFRA	0	0	2	25	0	27	0	0	1
PDGFRB	0	0	4	31	0	35	0	0	1
PDK1	0	0	0	0	0	0	0	0	0
PDK2	0	0	0	0	0	0	0	0	0
PDK3	0	0	0	0	0	0	0	0	0
PDK4	0	0	0	0	0	0	0	0	0
PDPK1	1	0	0	0	1	0	0	0	0
PEAK1	35	0	0	0	35	0	0	0	0
PKM	0	0	5	0	0	5	0	0	1
PKMYT1	0	0	34	0	0	34	0	0	1
PKN1	1	0	0	0	1	0	0	0	0
PKN2	3	0	0	0	3	0	0	0	0
PRKAA1	0	0	0	0	0	0	0	0	0
PRKACA	0	0	2	0	0	2	0	0	1
PRKACB	2	0	0	0	2	0	0	0	0
PRKCA	1	0	0	38	1	38	6.16441400296898	0.0124559544996404	0.983250713791389
PRKCB	0	0	0	30	0	30	0	0	1
PRKCD	10	0	0	0	10	0	0	0	0
PRKCE	0	0	0	111	0	111	0	0	1
PRKCG	1	0	0	0	1	0	0	0	0
PRKCI	1	0	0	36	1	36	6	0.0121237358428307	0.982320663653394
PRKD1	0	0	0	0	0	0	0	0	0
PRKD2	1	0	0	0	1	0	0	0	0
PRKD3	1	0	0	0	1	0	0	0	0
PRKDC	0	0	0	0	0	0	0	0	0
PRPF4B	6	6	0	0	12	0	0	0	0
PTK2	40	29	40	0	69	40	52.5357021462548	0.106154829189804	0.334458939617774
PTK2B	0	0	0	0	0	0	0	0	0
PTK6	0	0	7	3	0	10	0	0	1
RAF1	1	0	0	0	1	0	0	0	0
RET	0	0	67	0	0	67	0	0	1
RIPK1	3	0	0	0	3	0	0	0	0
RIPK2	4	0	0	0	4	0	0	0	0
ROCK1	0	0	0	6	0	6	0	0	1
ROCK2	4	0	0	0	4	0	0	0	0
ROR1	20	0	0	0	20	0	0	0	0
RPS6KA1	1	0	0	0	1	0	0	0	0
RPS6KA3	1	0	0	0	1	0	0	0	0
SLK	1	0	0	0	1	0	0	0	0
SRC	2	2	393	16	4	409	40.4474968323134	0.0817291278497829	0.993774088249248
SRMS	0	0	0	10	0	10	0	0	1
STK11	0	0	0	20	0	20	0	0	1
SYK	0	0	22	0	0	22	0	0	1
TAOK1	0	0	0	0	0	0	0	0	0
TAOK3	1	0	0	0	1	0	0	0	0
TBK1	2	2	0	0	4	0	0	0	0
TEC	0	0	0	14	0	14	0	0	1
TESK1	0	0	0	0	0	0	0	0	0
TGFBR2	2	2	2	0	4	2	2.82842712474619	0.00571518388518665	0.295167235300867
TNIK	1	0	0	0	1	0	0	0	0
TNK2	22	0	0	0	22	0	0	0	0
TRIM28	1	0	0	0	1	0	0	0	0
TRPM7	1	0	0	0	1	0	0	0	0
TTK	3	0	2	49	3	51	12.369316876853	0.0249937217285388	0.962594881517447
TXK	0	0	0	0	0	0	0	0	0
TYK2	2	1	0	80	3	80	15.4919333848297	0.0313033513420674	0.976137939685572
TYRO3	4	4	0	1	8	1	2.82842712474619	0.00571518388518665	0.0791668483211311
WEE1	0	0	63	0	0	63	0	0	1
YES1	7	2	4	91	9	95	29.2403830344269	0.0590837799754298	0.939868120529811
ZAP70	0	0	2	0	0	2	0	0	1
