Kinase	Kinome	ActLoop	PSP	NWK	Kin	Sub	Score	Rel.Score	Skew
FRK	0	0	0	12	0	12	0	0	1
FYN	8	6	16	36	14	52	26.9814751264641	0.407688662660737	0.83257235378342
GAK	0	0	0	0	0	0	0	0	0
GSK3A	17	17	17	0	34	17	24.0416305603426	0.363267766695085	0.295167235300867
GSK3B	17	17	17	0	34	17	24.0416305603426	0.363267766695085	0.295167235300867
HCK	4	4	8	5	8	13	10.1980390271856	0.154091830534402	0.648805530597234
HIPK1	5	5	0	0	10	0	0	0	0
HIPK2	5	5	5	0	10	5	7.07106781186548	0.106843460792672	0.295167235300867
HIPK3	2	2	0	0	4	0	0	0	0
ICK	1	1	0	0	2	0	0	0	0
IGF1R	3	3	17	3	6	20	10.9544511501033	0.165521177720474	0.814452841844515
IKBKB	0	0	0	0	0	0	0	0	0
INSR	3	3	25	107	6	132	28.1424945589406	0.42523160490281	0.971082642194447
INSRR	0	0	0	14	0	14	0	0	1
ITK	0	0	1	27	0	28	0	0	1
JAK1	0	0	1	0	0	1	0	0	1
JAK2	2	0	36	0	2	36	8.48528137423857	0.128212152951206	0.964668554223731
JAK3	0	0	1	0	0	1	0	0	1
KDR	0	0	3	47	0	50	0	0	1
KIT	0	0	0	44	0	44	0	0	1
LATS1	0	0	0	0	0	0	0	0	0
LATS2	0	0	0	0	0	0	0	0	0
LCK	6	6	7	14	12	21	15.8745078663875	0.239862974582036	0.669501318922864
LIMK1	0	0	0	0	0	0	0	0	0
LIMK2	0	0	0	0	0	0	0	0	0
LMTK2	0	0	1	0	0	1	0	0	1
LYN	15	4	10	66	19	76	38	0.574177990954724	0.844041739245261
MAP2K1	0	0	39	46	0	85	0	0	1
MAP2K2	0	0	12	12	0	24	0	0	1
MAP2K3	0	0	23	14	0	37	0	0	1
MAP2K4	0	0	26	8	0	34	0	0	1
MAP2K5	0	0	1	9	0	10	0	0	1
MAP2K6	0	0	23	26	0	49	0	0	1
MAP2K7	0	0	1	24	0	25	0	0	1
MAP3K4	0	0	0	0	0	0	0	0	0
MAP3K5	0	0	24	0	0	24	0	0	1
MAP3K6	0	0	24	0	0	24	0	0	1
MAP4K3	0	0	0	0	0	0	0	0	0
MAP4K4	0	0	0	0	0	0	0	0	0
MAP4K5	2	0	0	0	2	0	0	0	0
MAPK1	10	10	3	8	20	11	14.8323969741913	0.22411673409695	0.320119930477478
MAPK10	1	1	0	1	2	1	1.4142135623731	0.0213686921585344	0.295167235300867
MAPK11	0	0	0	0	0	0	0	0	0
MAPK12	0	0	0	0	0	0	0	0	0
MAPK13	2	2	0	0	4	0	0	0	0
MAPK14	23	23	13	0	46	13	24.454038521275	0.369499229180924	0.17534170343906
MAPK3	12	12	15	21	24	36	29.3938769133981	0.444139926118563	0.625665916378002
MAPK7	1	1	0	0	2	0	0	0	0
MAPK8	1	1	0	0	2	0	0	0	0
MAPK9	2	2	0	0	4	0	0	0	0
MAPKAPK3	0	0	0	0	0	0	0	0	0
MARK2	0	0	0	0	0	0	0	0	0
MARK3	0	0	0	0	0	0	0	0	0
MAST1	0	0	0	2	0	2	0	0	1
MAST2	0	0	0	2	0	2	0	0	1
MAST3	0	0	0	8	0	8	0	0	1
MELK	0	0	0	0	0	0	0	0	0
MERTK	0	0	0	0	0	0	0	0	0
MET	3	3	75	131	6	206	35.1567916624939	0.53121726329433	0.981462917241186
MINK1	0	0	0	0	0	0	0	0	0
MST1R	0	0	3	3	0	6	0	0	1
MUSK	0	0	0	3	0	3	0	0	1
MYLK	0	0	0	0	0	0	0	0	0
MYLK3	0	0	0	0	0	0	0	0	0
NEK1	0	0	0	0	0	0	0	0	0
NEK2	0	0	0	1	0	1	0	0	1
NEK7	0	0	0	0	0	0	0	0	0
NPM-ALK	0	0	1	0	0	1	0	0	1
NRK	0	0	0	0	0	0	0	0	0
NTRK1	0	0	0	0	0	0	0	0	0
NTRK2	0	0	0	8	0	8	0	0	1
PAK1	0	0	0	0	0	0	0	0	0
PAK2	0	0	0	0	0	0	0	0	0
PAK4	0	0	0	0	0	0	0	0	0
PAK6	0	0	0	0	0	0	0	0	0
PBK	0	0	0	0	0	0	0	0	0
PDGFRA	0	0	6	18	0	24	0	0	1
PDGFRB	0	0	7	12	0	19	0	0	1
PDK1	0	0	0	0	0	0	0	0	0
PDK2	0	0	0	0	0	0	0	0	0
PDK3	0	0	0	0	0	0	0	0	0
PDK4	0	0	0	0	0	0	0	0	0
PDPK1	0	0	0	0	0	0	0	0	0
PEAK1	10	0	0	0	10	0	0	0	0
PKM	0	0	10	0	0	10	0	0	1
PKMYT1	0	0	48	0	0	48	0	0	1
PKN1	0	0	0	0	0	0	0	0	0
PKN2	0	0	0	0	0	0	0	0	0
PRKAA1	1	0	0	0	1	0	0	0	0
PRKACA	0	0	6	0	0	6	0	0	1
PRKACB	0	0	0	0	0	0	0	0	0
PRKCA	1	0	0	0	1	0	0	0	0
PRKCB	0	0	0	2	0	2	0	0	1
PRKCD	1	0	0	0	1	0	0	0	0
PRKCE	0	0	0	3	0	3	0	0	1
PRKCG	1	0	0	0	1	0	0	0	0
PRKCI	0	0	0	10	0	10	0	0	1
PRKD1	0	0	0	0	0	0	0	0	0
PRKD2	0	0	0	0	0	0	0	0	0
PRKD3	0	0	0	0	0	0	0	0	0
PRKDC	0	0	0	0	0	0	0	0	0
PRPF4B	18	18	0	0	36	0	0	0	0
PTK2	43	37	41	0	80	41	57.2712842531054	0.865366077153816	0.30150155135641
PTK2B	0	0	0	0	0	0	0	0	0
PTK6	0	0	0	2	0	2	0	0	1
RAF1	0	0	0	0	0	0	0	0	0
RET	0	0	100	0	0	100	0	0	1
RIPK1	1	0	0	0	1	0	0	0	0
RIPK2	3	0	0	0	3	0	0	0	0
ROCK1	0	0	0	10	0	10	0	0	1
ROCK2	0	0	0	0	0	0	0	0	0
ROR1	0	0	0	0	0	0	0	0	0
RPS6KA1	0	0	0	0	0	0	0	0	0
RPS6KA3	0	0	0	0	0	0	0	0	0
SLK	0	0	0	0	0	0	0	0	0
SRC	6	6	226	3	12	229	52.4213696883246	0.792084124493082	0.966670496594489
SRMS	0	0	0	13	0	13	0	0	1
STK11	0	0	0	2	0	2	0	0	1
SYK	1	0	1	0	1	1	1	0.0151099471303875	0.5
TAOK1	0	0	0	0	0	0	0	0	0
TAOK3	0	0	0	0	0	0	0	0	0
TBK1	0	0	0	0	0	0	0	0	0
TEC	0	0	0	20	0	20	0	0	1
TESK1	0	0	0	0	0	0	0	0	0
TGFBR2	1	1	1	0	2	1	1.4142135623731	0.0213686921585344	0.295167235300867
TNIK	0	0	0	0	0	0	0	0	0
TNK2	11	0	0	0	11	0	0	0	0
TRIM28	0	0	0	0	0	0	0	0	0
TRPM7	0	0	0	0	0	0	0	0	0
TTK	0	0	0	50	0	50	0	0	1
TXK	0	0	0	0	0	0	0	0	0
TYK2	3	0	0	19	3	19	7.54983443527075	0.11407759916012	0.900304148723373
TYRO3	0	0	0	0	0	0	0	0	0
WEE1	0	0	95	0	0	95	0	0	1
YES1	8	6	4	41	14	45	25.0998007960223	0.379256663011154	0.80798335142426
ZAP70	0	0	3	0	0	3	0	0	1
